time,script_name,parameters,result
2020-08-14 02:43:18.033016,movement_plots_script.py,Bogota bogota all,0
2020-08-14 02:43:19.228244,movement_plots_script.R,Bogota bogota all 0.8 150,256
2020-08-14 02:43:25.800416,tda_script.R,Bogota bogota all,0
2020-08-14 02:43:26.810868,agglomerated_units_plots_script.R,Bogota bogota all,256
2020-08-14 02:43:32.676598,agglomerated_units_plots_script.py,Bogota bogota all,0
2020-08-14 02:46:10.789449,usa_state_unifier.py,Florida florida_usa,0
2020-08-14 02:46:32.791236,universal_radius_agglomerate.py,Florida florida_usa 10,0
2020-08-14 02:46:33.723394,universal_community_agglomerate.R,Florida florida_usa,0
2020-08-14 02:47:53.836799,universal_daily_graphs_constructor.py,Florida florida_usa all,0
2020-08-14 02:47:57.381917,single_file_download_extractor.py,NewSouthWales new_south_wales,0
2020-08-14 02:48:24.312322,universal_generic_unifier.py,NewSouthWales new_south_wales,0
2020-08-14 02:48:29.797368,universal_radius_agglomerate.py,NewSouthWales new_south_wales 10,0
2020-08-14 02:48:30.636786,universal_community_agglomerate.R,NewSouthWales new_south_wales,0
2020-08-14 02:49:31.804069,universal_daily_graphs_constructor.py,NewSouthWales new_south_wales all,0
2020-08-14 02:49:38.263663,tda_script.R,NewSouthWales new_south_wales all,0
2020-08-14 02:52:09.195298,movement_plots_script.py,NewSouthWales new_south_wales all,0
2020-08-14 02:52:57.853009,usa_state_unifier.py,Vermont vermont_usa,0
2020-08-14 02:53:04.186957,universal_radius_agglomerate.py,Vermont vermont_usa 10,0
2020-08-14 02:53:05.025577,universal_community_agglomerate.R,Vermont vermont_usa,0
2020-08-14 02:54:19.705031,universal_daily_graphs_constructor.py,Vermont vermont_usa all,0
2020-08-14 02:54:52.107666,usa_state_unifier.py,Oregon oregon_usa,0
2020-08-14 02:54:56.981698,universal_radius_agglomerate.py,Oregon oregon_usa 10,0
2020-08-14 02:54:57.848490,universal_community_agglomerate.R,Oregon oregon_usa,0
2020-08-14 02:55:51.910340,universal_daily_graphs_constructor.py,Oregon oregon_usa all,0
2020-08-14 02:56:07.006105,website_crawling_extractor.py,Mexico mexico,0
2020-08-14 03:00:43.113436,universal_generic_unifier.py,Mexico mexico,0
2020-08-14 03:01:55.128301,universal_radius_agglomerate.py,Mexico mexico 10,0
2020-08-14 03:01:59.292082,universal_community_agglomerate.R,Mexico mexico,0
2020-08-14 03:33:11.405148,universal_daily_graphs_constructor.py,Mexico mexico all,0
2020-08-14 03:33:11.984296,general_statistics.py,colombia community,0
2020-08-14 03:33:12.732133,general_statistics.py,colombia geometry,0
2020-08-14 03:34:05.984477,choropleth_maps.py,colombia geometry,0
2020-08-14 03:34:23.600040,generate_threshold_alerts.py,colombia geometry min_record,0
2020-08-14 03:35:44.148404,polygon_info_timewindow.py,colombia geometry 5 days,0
2020-08-14 03:35:58.069520,incidence_map.R,Colombia colombia geometry,0
2020-08-14 05:38:57.115463,location_selected_polygon_prediction_analysis.py,Colombia colombia community 0.8 20,0
2020-08-14 05:45:41.903843,neighbors_polygon_extraction.py,colombia community ibague 73001 Ibagué-Tolima,0
2020-08-14 05:52:49.021889,neighbors_polygon_extraction.py,colombia community popayan 19001 Popayán-Cauca,0
2020-08-14 05:59:35.678084,neighbors_polygon_extraction.py,colombia community villavicencio 50001 Villavicencio-Meta,0
2020-08-14 06:06:45.157372,neighbors_polygon_extraction.py,colombia community santa_marta 47001 SantaMarta-Magdalena,0
2020-08-14 06:13:32.604849,neighbors_polygon_extraction.py,colombia community cucuta 54001 Cúcuta-NorteDeSantander,0
2020-08-14 06:18:29.108843,polygon_prediction_dataset_builder.py,colombia community cucuta 54001 Cúcuta-NorteDeSantander 20,0
2020-08-14 06:22:54.870892,polygon_prediction_dataset_builder.py,colombia community santa_marta 47001 SantaMarta-Magdalena 20,0
2020-08-14 06:28:24.914365,polygon_prediction_dataset_builder.py,colombia community villavicencio 50001 Villavicencio-Meta 20,0
2020-08-14 06:34:02.325069,polygon_prediction_dataset_builder.py,colombia community popayan 19001 Popayán-Cauca 20,0
2020-08-14 06:40:12.143829,polygon_prediction_dataset_builder.py,colombia community ibague 73001 Ibagué-Tolima 20,0
2020-08-14 06:40:54.031531,polygon_prediction_analysis.py,colombia community villavicencio 50001 Villavicencio-Meta,0
2020-08-14 06:41:35.667860,polygon_prediction_analysis.py,colombia community cucuta 54001 Cúcuta-NorteDeSantander,0
2020-08-14 06:42:19.019682,polygon_prediction_analysis.py,colombia community popayan 19001 Popayán-Cauca,0
2020-08-14 06:43:01.585273,polygon_prediction_analysis.py,colombia community ibague 73001 Ibagué-Tolima,0
2020-08-14 06:43:42.675916,polygon_prediction_analysis.py,colombia community santa_marta 47001 SantaMarta-Magdalena,0
2020-08-14 06:43:45.794571,location_prediction_by_polygon_union.py,Colombia colombia community,0
2020-08-14 06:43:46.939958,copy_report_files.py,nan,0
